Energy,Kinetic Energy,Harmonic Potential Energy,Interaction Energy,Radii
inf,2.120940014455788,0.25,inf,0.5
inf,7.286632048922114,0.056883867973942286,inf,0.11376773594788457
inf,91.99303936625041,0.0011069262595817745,inf,0.002213852519163549
inf,108.27374222921527,2.2132401921514632e-05,inf,4.4264803843029265e-05
inf,108.35483973233136,2.2429470796511722e-05,inf,4.4858941593023444e-05
inf,108.35431760977632,2.2424910882257355e-05,inf,4.484982176451471e-05
inf,108.35400140596373,2.2423079916424415e-05,inf,4.484615983284883e-05
inf,108.35394760803774,2.2422777973841703e-05,inf,4.4845555947683406e-05
inf,108.35395131407593,2.24227965560957e-05,inf,4.48455931121914e-05
inf,108.35394176367087,2.2422745075222287e-05,inf,4.484549015044457e-05
inf,108.35395066099971,2.2422792885268854e-05,inf,4.484558577053771e-05
inf,108.35394169172848,2.2422744670953153e-05,inf,4.4845489341906305e-05
inf,108.35395065310477,2.2422792840893927e-05,inf,4.484558568178785e-05
inf,108.35394169086173,2.2422744666079274e-05,inf,4.484548933215855e-05
inf,108.3539506530094,2.242279284035733e-05,inf,4.484558568071466e-05
inf,108.35394169085119,2.242274466602001e-05,inf,4.484548933204002e-05
inf,108.35395065300825,2.2422792840350758e-05,inf,4.4845585680701516e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
inf,108.3539506530082,2.242279284035067e-05,inf,4.484558568070134e-05
inf,108.3539416908511,2.2422744666019284e-05,inf,4.484548933203857e-05
